tt;age;crude;event;site
0;35;0;Death of cancer;colon
0;36;0;Death of cancer;colon
0;37;0;Death of cancer;colon
0;38;0;Death of cancer;colon
0;39;0;Death of cancer;colon
0;40;0;Death of cancer;colon
0;41;0;Death of cancer;colon
0;42;0;Death of cancer;colon
0;43;0;Death of cancer;colon
0;44;0;Death of cancer;colon
0;45;0;Death of cancer;colon
0;46;0;Death of cancer;colon
0;47;0;Death of cancer;colon
0;48;0;Death of cancer;colon
0;49;0;Death of cancer;colon
0;50;0;Death of cancer;colon
0;51;0;Death of cancer;colon
0;52;0;Death of cancer;colon
0;53;0;Death of cancer;colon
0;54;0;Death of cancer;colon
0;55;0;Death of cancer;colon
0;56;0;Death of cancer;colon
0;57;0;Death of cancer;colon
0;58;0;Death of cancer;colon
0;59;0;Death of cancer;colon
0;60;0;Death of cancer;colon
0;61;0;Death of cancer;colon
0;62;0;Death of cancer;colon
0;63;0;Death of cancer;colon
0;64;0;Death of cancer;colon
0;65;0;Death of cancer;colon
0;66;0;Death of cancer;colon
0;67;0;Death of cancer;colon
0;68;0;Death of cancer;colon
0;69;0;Death of cancer;colon
0;70;0;Death of cancer;colon
0;71;0;Death of cancer;colon
0;72;0;Death of cancer;colon
0;73;0;Death of cancer;colon
0;74;0;Death of cancer;colon
0;75;0;Death of cancer;colon
0;76;0;Death of cancer;colon
0;77;0;Death of cancer;colon
0;78;0;Death of cancer;colon
0;79;0;Death of cancer;colon
0;80;0;Death of cancer;colon
0;81;0;Death of cancer;colon
0;82;0;Death of cancer;colon
0;83;0;Death of cancer;colon
0;84;0;Death of cancer;colon
0;85;0;Death of cancer;colon
0;86;0;Death of cancer;colon
0;87;0;Death of cancer;colon
0;88;0;Death of cancer;colon
0;89;0;Death of cancer;colon
0;90;0;Death of cancer;colon
0;35;0;Death of other causes;colon
0;36;0;Death of other causes;colon
0;37;0;Death of other causes;colon
0;38;0;Death of other causes;colon
0;39;0;Death of other causes;colon
0;40;0;Death of other causes;colon
0;41;0;Death of other causes;colon
0;42;0;Death of other causes;colon
0;43;0;Death of other causes;colon
0;44;0;Death of other causes;colon
0;45;0;Death of other causes;colon
0;46;0;Death of other causes;colon
0;47;0;Death of other causes;colon
0;48;0;Death of other causes;colon
0;49;0;Death of other causes;colon
0;50;0;Death of other causes;colon
0;51;0;Death of other causes;colon
0;52;0;Death of other causes;colon
0;53;0;Death of other causes;colon
0;54;0;Death of other causes;colon
0;55;0;Death of other causes;colon
0;56;0;Death of other causes;colon
0;57;0;Death of other causes;colon
0;58;0;Death of other causes;colon
0;59;0;Death of other causes;colon
0;60;0;Death of other causes;colon
0;61;0;Death of other causes;colon
0;62;0;Death of other causes;colon
0;63;0;Death of other causes;colon
0;64;0;Death of other causes;colon
0;65;0;Death of other causes;colon
0;66;0;Death of other causes;colon
0;67;0;Death of other causes;colon
0;68;0;Death of other causes;colon
0;69;0;Death of other causes;colon
0;70;0;Death of other causes;colon
0;71;0;Death of other causes;colon
0;72;0;Death of other causes;colon
0;73;0;Death of other causes;colon
0;74;0;Death of other causes;colon
0;75;0;Death of other causes;colon
0;76;0;Death of other causes;colon
0;77;0;Death of other causes;colon
0;78;0;Death of other causes;colon
0;79;0;Death of other causes;colon
0;80;0;Death of other causes;colon
0;81;0;Death of other causes;colon
0;82;0;Death of other causes;colon
0;83;0;Death of other causes;colon
0;84;0;Death of other causes;colon
0;85;0;Death of other causes;colon
0;86;0;Death of other causes;colon
0;87;0;Death of other causes;colon
0;88;0;Death of other causes;colon
0;89;0;Death of other causes;colon
0;90;0;Death of other causes;colon
0;35;100;Alive;colon
0;36;100;Alive;colon
0;37;100;Alive;colon
0;38;100;Alive;colon
0;39;100;Alive;colon
0;40;100;Alive;colon
0;41;100;Alive;colon
0;42;100;Alive;colon
0;43;100;Alive;colon
0;44;100;Alive;colon
0;45;100;Alive;colon
0;46;100;Alive;colon
0;47;100;Alive;colon
0;48;100;Alive;colon
0;49;100;Alive;colon
0;50;100;Alive;colon
0;51;100;Alive;colon
0;52;100;Alive;colon
0;53;100;Alive;colon
0;54;100;Alive;colon
0;55;100;Alive;colon
0;56;100;Alive;colon
0;57;100;Alive;colon
0;58;100;Alive;colon
0;59;100;Alive;colon
0;60;100;Alive;colon
0;61;100;Alive;colon
0;62;100;Alive;colon
0;63;100;Alive;colon
0;64;100;Alive;colon
0;65;100;Alive;colon
0;66;100;Alive;colon
0;67;100;Alive;colon
0;68;100;Alive;colon
0;69;100;Alive;colon
0;70;100;Alive;colon
0;71;100;Alive;colon
0;72;100;Alive;colon
0;73;100;Alive;colon
0;74;100;Alive;colon
0;75;100;Alive;colon
