tt;age;netsurv;site
0;35;100;colon
0;36;100;colon
0;37;100;colon
0;38;100;colon
0;39;100;colon
0;40;100;colon
0;41;100;colon
0;42;100;colon
0;43;100;colon
0;44;100;colon
0;45;100;colon
0;46;100;colon
0;47;100;colon
0;48;100;colon
0;49;100;colon
0;50;100;colon
0;51;100;colon
0;52;100;colon
0;53;100;colon
0;54;100;colon
0;55;100;colon
0;56;100;colon
0;57;100;colon
0;58;100;colon
0;59;100;colon
0;60;100;colon
0;61;100;colon
0;62;100;colon
0;63;100;colon
0;64;100;colon
0;65;100;colon
0;66;100;colon
0;67;100;colon
0;68;100;colon
0;69;100;colon
0;70;100;colon
0;71;100;colon
0;72;100;colon
0;73;100;colon
0;74;100;colon
0;75;100;colon
0;76;100;colon
0;77;100;colon
0;78;100;colon
0;79;100;colon
0;80;100;colon
0;81;100;colon
0;82;100;colon
0;83;100;colon
0;84;100;colon
0;85;100;colon
0;86;100;colon
0;87;100;colon
0;88;100;colon
0;89;100;colon
0;90;100;colon
.1;35;99.99399478855938;colon
.1;36;99.99226851445796;colon
.1;37;99.99004606638049;colon
.1;38;99.98718487461538;colon
.1;39;99.98350143199987;colon
.1;40;99.9787595577284;colon
.1;41;99.97265530877948;colon
.1;42;99.96479758940995;colon
.1;43;99.95468324550811;colon
.1;44;99.94166509724349;colon
.1;45;99.92491094434079;colon
.1;46;99.90335105533403;colon
.1;47;99.87563981071231;colon
.1;48;99.84022211150845;colon
.1;49;99.79531397840094;colon
.1;50;99.73891629829714;colon
.1;51;99.66888841245371;colon
.1;52;99.58307797430068;colon
.1;53;99.47951899228002;colon
.1;54;99.35670411832352;colon
.1;55;99.21392637014495;colon
.1;56;99.05166935177571;colon
.1;57;98.87200496185068;colon
.1;58;98.6789369015338;colon
.1;59;98.47861236610315;colon
.1;60;98.27931954288914;colon
.1;61;98.09120057212216;colon
.1;62;97.92564104636689;colon
.1;63;97.79256097017753;colon
.1;64;97.69331017116598;colon
.1;65;97.62461569440026;colon
.1;66;97.58088220432748;colon
.1;67;97.55497483308561;colon
.1;68;97.53888371343081;colon
.1;69;97.52417425919431;colon
.1;70;97.50217320708239;colon
.1;71;97.46386762685317;colon
.1;72;97.40072005383523;colon
.1;73;97.30793237249318;colon
.1;74;97.18071489731906;colon
.1;75;97.01275574211304;colon
.1;76;96.79574712661136;colon
.1;77;96.51874923288652;colon
.1;78;96.16733500590409;colon
.1;79;95.72416586355622;colon
.1;80;95.17430334381528;colon
.1;81;94.50222736172199;colon
.1;82;93.69112969618347;colon
.1;83;92.72403416247874;colon
.1;84;91.5854202926912;colon
.1;85;90.26337491509781;colon
.1;86;88.75217079985444;colon
.1;87;87.05166385409807;colon
.1;88;85.15681218434872;colon
.1;89;83.06418764099887;colon
.1;90;80.77556061563541;colon
.2;35;99.96202632800886;colon
.2;36;99.95346387416741;colon
.2;37;99.94297228417093;colon
.2;38;99.93011770278534;colon
.2;39;99.91436909495729;colon
.2;40;99.89507667527447;colon
.2;41;99.87144564838525;colon
.2;42;99.84250429091986;colon
.2;43;99.80706523047598;colon
.2;44;99.76367858417149;colon
.2;45;99.71057541429812;colon
.2;46;99.64559975406154;colon
.2;47;99.56620788173309;colon
.2;48;99.46975620075924;colon
.2;49;99.35349625766398;colon
.2;50;99.21465090085633;colon
.2;51;99.05060669570483;colon
.2;52;98.85917509143158;colon
.2;53;98.63892126323147;colon
.2;54;98.38954834088129;colon
.2;55;98.11231034141244;colon
.2;56;97.81041131821975;colon
.2;57;97.48933407311701;colon
.2;58;97.15703318418582;colon
.2;59;96.8239279348644;colon
.2;60;96.50264342624162;colon
.2;61;96.20747252733838;colon
.2;62;95.95356413960229;colon
.2;63;95.75323449990341;colon
.2;64;95.60619295820433;colon
.2;65;95.50610557276541;colon
.2;66;95.44396582761179;colon
.2;67;95.40903638321801;colon
.2;68;95.38961653961609;colon
.2;69;95.37356070336466;colon
.2;70;95.34851038760469;colon
.2;71;95.30182401896555;colon
.2;72;95.22129313534984;colon
.2;73;95.0979369088532;colon
.2;74;94.92230458733303;colon
.2;75;94.68273067509033;colon
.2;76;94.36445496344261;colon
.2;77;93.94846621609059;colon
.2;78;93.40998539849359;colon
.2;79;92.72035581454836;colon
.2;80;91.85934396399472;colon
.2;81;90.80845876405782;colon
.2;82;89.54979617372094;colon
.2;83;88.06884032883301;colon
.2;84;86.35787424987137;colon
.2;85;84.41963875952405;colon
.2;86;82.27054147721918;colon
.2;87;79.93736437019201;colon
.2;88;77.43884518395161;colon
.2;89;74.79452150980065;colon
.2;90;72.02677748822673;colon
.3;35;99.89975682541657;colon
.3;36;99.88025197046406;colon
.3;37;99.85695987400686;colon
.3;38;99.82914855274053;colon
.3;39;99.79594599154915;colon
.3;40;99.75631397069009;colon
.3;41;99.70901726485926;colon
.3;42;99.65258751004066;colon
.3;43;99.58528097836067;colon
.3;44;99.50502946733562;colon
.3;45;99.40938351467294;colon
.3;46;99.29544721750283;colon
.3;47;99.15994013736221;colon
.3;48;98.99972727636448;colon
.3;49;98.81179870333948;colon
.3;50;98.59337643904733;colon
.3;51;98.34217958497207;colon
.3;52;98.05674876459838;colon
.3;53;97.73681730114228;colon
